151.25,173.31,188.51,23,45,61,152,180,195,7.21,7.85,9.16,175.38,8.01,47,182,204.37,19.74,73.93,2.86,1.99,3.59,203.68,20,74.12,203.68,20,76.47,4.76,4.49,4.75,4.98,I
144.99,162.63,174.08,18,36,50,151,170,182,15.28,13.99,19.2,164.26,11.33,38,172,208.06,17.39,69.16,11.11,8.04,5.55,209.14,17.49,70.2,210,18.38,71.37,5.42,5.03,5.52,5.57,I
142.23,167.52,184.54,16,40,55,146,172,188,14.44,14.11,23.67,169.9,12.95,42,174,206.14,23.31,73.26,10.36,8.15,7.23,207.57,21.55,72.16,209.14,20,73.73,5.62,5.02,5.59,5.97,I
156.09,188.85,217.01,27,59,91,145,175,210,18.85,13.75,23.89,193.86,12.99,65,182,208.7,28.69,85.95,9.82,7.32,5.93,210.35,28.96,85.88,212.31,30.95,82.35,5.62,5.54,5.58,5.88,I
165.25,195.46,222.56,39,67,95,169,199,209,19.01,12.39,23.1,200.65,11.38,72,191,209.86,26.27,88.12,9.79,8.48,5.44,210.94,27.43,87.45,210,29.67,81.96,5.47,5.74,5.5,5.71,I
126.46,137.48,141.02,4,20,29,143,160,181,20.13,29.77,40.77,137.57,29.38,23,164,143.88,17.22,58.56,83.26,10.73,13.36,205.26,17.92,63.53,33.75,20.56,70.98,6.24,5.68,6.25,6.61,I
139.28,155.8,171.61,12,24,43,139,144,255,22.38,23.81,42.38,158.51,23.67,27,161,180.9,22.45,70.41,74.59,13.55,13.16,214.69,20.63,67.84,213.75,16.67,100,6.46,5.94,6.32,7.13,I
158.57,196.67,222.4,33,70,104,160,198,237,24.98,17.94,36.85,200.81,18.11,76,212,204.42,29.92,89.18,22.88,10.76,8.81,208.77,29.8,91.37,210,31.33,92.94,5.95,5.89,5.92,6.21,I
177.01,201.14,213.34,57,79,98,186,219,245,28.78,25.41,44.78,203.49,26.29,83,223,190.58,19.76,86.45,54.02,12.85,12.03,209.33,19.96,89.41,206.44,24.08,96.08,6.1,5.71,6.07,6.59,I
166.73,182.27,189.57,44,57,72,165,182,195,28.67,28.3,43.65,183.57,29.42,60,187,185.93,16.56,77.45,63.63,12.02,12.21,213.1,15.02,79.22,213.75,8.33,76.47,6.32,5.9,6.29,6.78,I
104.66,96.95,85.38,98,90,78,89,76,69,25.95,29.58,27.24,93.36,25.2,87,76,29.57,20.84,42.25,20.91,10.17,10.87,27.27,19.83,39.22,30,16.67,34.9,6.3,6.26,6.33,6.38,I
